m/z,rt,row ID,GRAPE-221775.mzML Peak area,GRAPE-221831.mzML Peak area,QC_001.mzML Peak area,QC_002.mzML Peak area,GRAPE-221800.mzML Peak area,GRAPE-221789.mzML Peak area,GRAPE-221870.mzML Peak area,GRAPE-221784.mzML Peak area,QC_004.mzML Peak area,QC_003.mzML Peak area,GRAPE-221776.mzML Peak area,GRAPE-221873.mzML Peak area,QC_005.mzML Peak area,GRAPE-221871.mzML Peak area,GRAPE-221872.mzML Peak area,GRAPE-221875.mzML Peak area,GRAPE-221834.mzML Peak area,GRAPE-221844.mzML Peak area,GRAPE-221833.mzML Peak area,GRAPE-221845.mzML Peak area,GRAPE-221837.mzML Peak area,GRAPE-221838.mzML Peak area,GRAPE-221848.mzML Peak area,GRAPE-221836.mzML Peak area,GRAPE-221856.mzML Peak area,GRAPE-221835.mzML Peak area,GRAPE-221849.mzML Peak area,GRAPE-221846.mzML Peak area,GRAPE-221857.mzML Peak area,GRAPE-221847.mzML Peak area,GRAPE-221832.mzML Peak area,GRAPE-221843.mzML Peak area,GRAPE-221868.mzML Peak area,GRAPE-221859.mzML Peak area,GRAPE-221850.mzML Peak area,GRAPE-221860.mzML Peak area,GRAPE-221858.mzML Peak area,GRAPE-221869.mzML Peak area
495.1133172,20.754082,feature_2644,4931.046,7403.7188,7356.975,7925.9097,9896.029,3374.8232,15694.198,0,11454.704,8902.388,8844.922,11753.786,10405.308,12947.873,15761.873,21198.338,5050.2246,14517.451,4946.5,0,5843.826,15307.704,13988.369,13115.398,9949.405,6397.6543,18804.086,6383.9966,12231.664,10646.412,14281.093,21060.008,14000.528,19104.75,12451.639,0,4909.4717,18100.729
563.0997144,20.754347,feature_2646,0,0,0,0,0,0,4783.127,0,3723.0972,0,0,3832.478,3979.9067,3334.0981,5447.5903,6894.183,0,4562.659,0,0,0,4723.9473,5044.5723,4318.7773,3386.5872,0,6255.0576,0,2967.897,3382.3418,4405.201,5853.707,4659.527,0,4531.5884,0,0,5847.624
244.0692314,20.78077,feature_2651,14714.799,18695.018,23703.547,30297.982,34136.234,0,38559.19,0,39531,35749.426,95753.836,35895.992,39044.91,68590.22,73612.72,69360.61,31058.982,41145.41,9038.981,14713.807,39912.77,45729.234,31225.19,71801.59,60028.09,9049.941,81702.57,38155.47,49360.297,57513.094,42230.293,134264.88,49275.777,23178.225,88233.66,0,51226.086,61051.44
243.0659819,20.7812,feature_2653,143368.39,167815.95,211057,248181.89,274618.25,24771.803,313998.8,36508.51,314065.03,283426.25,697367.2,291166.75,313850,521978.03,566701.4,516182.7,259728.61,327457.12,93844.59,138323.4,321565.03,356294.6,260470.62,528148.06,474782.03,89939.14,616496,305355.9,385237.38,440902.03,342575.34,947233.3,394092.6,206297.69,655750.2,0,396524.56,476467.53
287.0730214,20.781744,feature_2656,0,3756.1372,0,6915.128,8062.677,0,9024.596,0,9519.379,7751.1636,21240.992,7613.15,9492.473,16029.625,17803.936,16479.445,7316.453,10152.791,0,3359.575,9691.608,11263.7705,8783.851,17637.514,16288.53,0,20320.754,9121.759,11019.953,13595.418,11780.61,31222.549,11325.756,5678.2036,21371.623,0,13174.975,15148.788
137.0232226,21.102291,feature_2712,16588.383,13082.417,14587.998,14927.439,19896.395,8189.3784,12217.497,21995.977,14202.118,16126.944,30673.238,14823.858,14413.845,23726.705,14354.887,16763.09,10954.021,12850.886,8676.633,11976.671,18122.256,23914.023,26803.525,22990.465,13133.497,7546.774,16457.967,25022.043,17265.355,16166.419,9857.932,19000.195,15089.94,11477.269,22113.557,0,16484.072,14373.621
455.0976409,21.52402,feature_2756,0,0,0,3904.608,3186.3276,3207.6196,6597.0713,6803.92,4757.1113,4535.4316,10144.322,0,4900.9834,9123.5,4748.921,6863.651,0,2522.5825,0,5662.8374,9562.844,0,0,5541.2383,5179.1313,7680.319,0,8208.5,6654.518,6069.876,0,10636.93,5068.4575,0,6298.7036,0,4091.5654,4507.3706
495.1135143,21.597813,feature_2782,78981.78,86834.62,70562.49,84475.04,79634.6,60130.098,76691.58,68790.03,90556.67,89108.1,72577.96,74444.555,94996.914,66046.11,85341.555,66383.21,117676.84,73211.984,123542.68,149160.62,127365.54,40183.87,71328.07,99193.79,102563.805,107473.93,77659.31,192795.88,51597.883,169472.7,134344.78,153755.78,74530.234,54780.42,78829.47,3870.4895,162892.31,85327.32
496.1167002,21.598698,feature_2789,15014.552,17567.191,15302.565,16795.947,16091.864,11114.743,14962.773,12042.021,18364.91,18696.406,13167.229,15379.052,19919.305,11850.591,17942.682,13316.373,25013.191,15102.614,23449.312,31726.973,25763.047,7281.1523,14174.941,20676.482,21455.031,23098.598,16831.639,41684.016,9784.124,36501.824,25728.326,32878.79,15672.088,11187.45,16579.188,0,35041.82,18729.71
563.0998352,21.60017,feature_2795,7619.4443,8819.6045,7091.99,7363.4707,7295.1973,5098.6865,6220.053,6359.6265,7744.3438,7709.5664,7256.871,5720.4297,8254.646,6285.717,7254.2856,5532.592,11217.119,5647.372,11181.049,12126.925,10992.189,0,5701.3687,8953.529,8815.554,9763.219,7094.5527,17158.861,4687.412,14802.115,13298.974,12718.615,6343.3984,4499.0713,6828.2925,0,13865.475,7160.9307
